artists,album_name,track_name
Linkin Park,Hybrid Theory (Bonus Edition),A Place for My Head
Avenged Sevenfold,Nightmare,Nightmare
System Of A Down,Hypnotize,Lonely Day
System Of A Down,Toxicity,Aerials
Linkin Park,The Hunting Party,Final Masquerade
Slipknot,All Hope Is Gone (10th Anniversary),Psychosocial
Sevyn Streeter;Chris Brown,"Call Me Crazy, But...",It Won't Stop (feat. Chris Brown) - EP Version
Linkin Park,Hybrid Theory (Bonus Edition),Points of Authority
MARINA,The Family Jewels,Are You Satisfied?
Gorillaz;Kali Uchis,Humanz (Deluxe),She's My Collar (feat. Kali Uchis)
Linkin Park,LIVING THINGS,IN MY REMAINS
Avenged Sevenfold,Avenged Sevenfold,A Little Piece of Heaven
System Of A Down,Mezmerize,B.Y.O.B.
Tinashe;ScHoolboy Q,Aquarius,2 On (feat. ScHoolboy Q)
Pharoahe Monch,Simon Says,Simon Says
Jesse,&,Bloom Later
Linkin Park;Pusha T;Stormzy,One More Light,Good Goodbye (feat. Pusha T and Stormzy)
Ruel,Free Time,Hard Sometimes
Linkin Park,LIVING THINGS,POWERLESS
Slipknot,Vol. 3: The Subliminal Verses,Before I Forget
Slipknot,We Are Not Your Kind,Unsainted
Sleeping At Last,Turning Page,Turning Page
Novo Amor,Bathing Beach,Carry You
Novo Amor,Bathing Beach,Anchor
Marconi Union,The Ambient Zone Just Music Cafe Vol 4,Weightless
Sleeping At Last,"Covers, Vol. 2",Already Gone
Seekae;Flume,Test & Recognise (Remixes),Test & Recognise - Flume Re-work
Sleeping At Last,Atlas: II,Touch
Sleeping At Last,Atlas: I,Saturn
Bethel Music;Jenn Johnson,Victory (Live),Goodness of God - Live
Maxence Cyrin,Novö Piano,Where Is My Mind
Sleeping At Last,Atlas: Enneagram,Two
Novo Amor;Ed Tullett;Lowswimmer,Alps,Alps
Gustavo Santaolalla,The Last of Us,The Last of Us
Brian Eno;Jon Hopkins;Leo Abrahams,Small Craft On A Milk Sea,Emerald and Stone
Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),The Theory of Everything
Sleeping At Last,"Covers, Vol. 2",Chasing Cars
Bethel Music;Steffany Gretzinger,Starlight (Live),King of My Heart - Live
Bethel Music;Jonathan David Helser;Melissa Helser,Victory (Live),Raise a Hallelujah - Live
Aphex Twin,Selected Ambient Works Volume II,#3
Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),A Model of the Universe
Sleeping At Last,Atlas: I,Neptune
Sleeping At Last,Atlas: I,Light
Max Richter,The Leftovers: Season 1 (Music from the HBO Series),The Departure
Marconi Union,Weightless (Ambient Transmission Vol. 2),Weightless Part 1
Message To Bears,Maps,You Are a Memory
Bethel Music;Jonathan David Helser;Melissa Helser,Raise a Hallelujah (Studio Version),Raise a Hallelujah (Studio Version)
Gustavo Santaolalla;Alan Umstead,The Last of Us,The Choice
Bibio,A Mineral Love,Petals
Clint Mansell;Kronos Quartet,Requiem for a Dream / OST,Lux Aeterna
Sleeping At Last,"Covers, Vol. 1",Every Little Thing She Does Is Magic
Aphex Twin,Drukqs,Avril 14th
The American Dollar,Ambient One,Anything You Synthesize - Ambient
Sleeping At Last,All Through the Night,All Through the Night
Air;Gordon Tracks,The Virgin Suicides (Original Motion Picture Score),Playground Love
Aphex Twin,Selected Ambient Works 85-92,Xtal
Air,Talkie Walkie,Alone in Kyoto
Clem Leek,Rest,Bless Those Tired Eyes
Boards of Canada,Music Has The Right To Children,Olson
Ólafur Arnalds,Living Room Songs,Near Light
Dmitri Shostakovich;Russian State Symphony Orchestra;Dmitry Yablonsky,Shostakovich: Jazz Suites Nos. 1 - 2 / The Bolt / Tahiti Trot,Jazz Suite No. 2: VI. Waltz 2
Ólafur Arnalds;Nils Frahm,Trance Frendz,20:17
Goldmund,The Malady Of Elegance,Threnody
Boards of Canada,Music Has The Right To Children,Roygbiv
Sleeping At Last,"Covers, Vol. 1",I'm Gonna Be (500 Miles)
Keaton Henson,Dear,Small Hands
Aphex Twin,Syro,aisatsana [102]
Sleeping At Last,Turning Page,Turning Page (Instrumental)
Yann Tiersen,Cascade Street,I've Never Been There
Nils Frahm,Wintermusik,Ambre
Sleeping At Last,Atlas: I,North
Sleeping At Last,"Covers, Vol. 2",Rainbow Connection
Peter Sandberg,Dismantle,Remove The Complexities
Nils Frahm,Screws,Re
Marconi Union,Weightless (Ambient Transmission Vol. 2),Weightless Part 3
Marconi Union,Weightless (Ambient Transmission Vol. 2),Weightless Part 2
Boards of Canada,The Campfire Headphase,Dayvan Cowboy
Nils Frahm,Spaces,Says
Jon Hopkins,Immunity,Immunity
John Adams;Nicolas Hodges;Rolf Hind,Road Movies,Adams: Hallelujah Junction: 1st Movement
Aphex Twin,Windowlicker,Windowlicker
Marconi Union,Weightless (Ambient Transmission Vol. 2),Weightless Part 4
Clint Mansell,The Fountain OST,Together We Will Live Forever
Air,Talkie Walkie,Cherry Blossom Girl
Peter Sandberg,Balm,Synesthesia (Scaled Down Version)
Keaton Henson,Dear,You Don't Know How Lucky You Are
Grouper,Dragging a Dead Deer Up a Hill,Heavy Water/I'd Rather Be Sleeping
Aphex Twin,Come To Daddy,IZ-US
Clint Mansell,Mass Effect 3 (Original Soundtrack),Leaving Earth
Fabrizio Paterlini,Viaggi in aeromobile,Soffia la notte
Bethel Music;Steffany Gretzinger,Have It All (Live),Pieces - Live
Alexis Ffrench,The Secret Piano,Last Song
Marconi Union,Weightless (Ambient Transmission Vol. 2),Weightless Part 5
Boards of Canada,The Campfire Headphase,Peacock Tail
Burzum,Filosofem,Dunkelheit
Sleeping At Last,Atlas: I,Earth
Yann Tiersen,The Lighthouse,The Drowned Girl - Edit
Dustin O'Halloran,The Beauty Inside (Original Film Score),Home
Marconi Union,Weightless (Ambient Transmission Vol. 2),Weightless Part 6
Aphex Twin,Richard D. James Album,Fingerbib
美波,カワキヲアメク,カワキヲアメク
Ikimonogakari,Chou Ikimonobakari Tennen Kinen Members Best Selection,ブルーバード
Linked Horizon,Shingeki no Kiseki,Guren no Yumiya
Linked Horizon,Shingeki no Kiseki,Shinzo wo Sasageyo!
Kensuke Ushio,"A Shape of Light ""A Silent Voice the Movie"" Original Soundtrack",lit(var)
Yuki Hayashi,TVアニメ『僕のヒーローアカデミア』オリジナル・サウンドトラック,You Say Run
THE ORAL CIGARETTES,FIXION,Kyouran Hey Kids!!
Ikimonogakari,Chou Ikimonobakari Tennen Kinen Members Best Selection,熱情のスペクトラム
Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",Attack on Titan
Linked Horizon,Guren no Yumiya Tv Size Ver.,Guren no Yumiya Tv Size Ver.
Linked Horizon,Shinzo wo Sasageyo! (TV Size),Shinzo wo Sasageyo! - TV Size
Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",Vogel Im Kafig
Joe Hisaishi,Spirited Away Soundtrack,One Summer Day
JAM Project,AREA Z,THE HERO !! 〜怒れる拳に火をつけろ〜
Shiki-TMNS;Hentai Dude,Senpai (feat. Hentai Dude),Senpai (feat. Hentai Dude)
Hello Sleepwalkers,Masked Monkey Awakening,Goya No Machiawase
Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",Call Your Name
Yugo Kanno,JOJO'S BIZARRE ADVENTURE -Stardust Crusaders O.S.T [Departure],Stardust Crusaders
Ikimonogakari,Chou Ikimonobakari Tennen Kinen Members Best Selection,SAKURA
Joe Hisaishi,Howl's Moving Castle Soundtrack,The Flower Garden
Joe Hisaishi,Kiki's Delivery Service Soundtrack Music Collection,A Town with an Ocean View
Hiroyuki Sawano,"TV Anime ""Attack on Titan"" Original Soundtrack",The Reluctant Heroes
Yoshihisa Hirano,TVアニメ「HUNTER×HUNTER」オリジナル・サウンドトラック,奇術師のバイレ
Yugo Kanno,JOJO'S BIZARRE ADVENTURE -Diamond is unbreakable O.S.T Vol.1 -Good Morning Morioh Cho- Music by Yugo Kanno,Diamond is unbreakable - Main Theme
Joe Hisaishi,Howl's Moving Castle Soundtrack,Opening Song - Merry-Go-Round of Life
Maretu,Coin locker Baby,Mind brand
FLOW,Go!!!,GO!!! 〜NARUTO OPENING MIX〜
Joe Hisaishi,Spirited Away Soundtrack,The Sixth Station
Taku Iwasaki,JOJO'S BIZARRE ADVENTURE -O.S.T Battle Tendency [Musik],Overdrive
Capcom Sound Team,デビル メイ クライ 3 オリジナル・サウンドトラック,"""DEVILS NEVER CRY""(スタッフロール)"
Cradle Of Filth,Lovecraft & Witch Hearts,Hallowed Be Thy Name
Cradle Of Filth,Nymphetamine Special Edition,Nymphetamine Fix
Mayhem,De Mysteriis Dom Sathanas,Freezing Moon
Crooked Still,Shaken By A Low Sound,Little Sadie
Crooked Still,Shaken By A Low Sound,Ain't No Grave
The Devil Makes Three,The Devil Makes Three,Old Number Seven
Watchhouse,Blindfaller,Wildfire
Cage The Elephant,Melophobia,Cigarette Daydreams
Cage The Elephant,Melophobia,Come a Little Closer
Cage The Elephant,Cage The Elephant (Expanded Edition),Ain't No Rest for the Wicked
All Good Things,Machines,For the Glory
Cage The Elephant,Melophobia,Telescope
The Black Keys,El Camino,Lonely Boy
Santana;The Product G&B,Supernatural (Remastered),Maria Maria (feat. The Product G&B)
The White Stripes,White Blood Cells,Fell In Love With a Girl
The White Stripes,White Blood Cells,We're Going to Be Friends
Gary Clark Jr.;Junkie XL,Come Together,Come Together
The Jon Spencer Blues Explosion,Orange,Bellbottoms
Santana;Rob Thomas,Supernatural (Remastered),Smooth (feat. Rob Thomas)
KONGOS,Lunatic,Come with Me Now
Stevie Ray Vaughan,Texas Flood (Legacy Edition),Pride and Joy
The Black Keys,Turn Blue,Weight of Love
The Phantoms,"Take The World, Vol. 1 - EP",Watch Me
The Black Keys,El Camino,Little Black Submarines
The Black Keys,El Camino,Gold on the Ceiling
ZZ Top,Eliminator,Sharp Dressed Man - 2008 Remaster
Santana,Ultimate Santana,Black Magic Woman
Sam Tinnesz,Ready Set Let's Go,Ready Set Let's Go
Dan Auerbach,Waiting on a Song,Never in My Wildest Dreams
Stevie Ray Vaughan,Couldn't Stand The Weather (Legacy Edition),Little Wing
Procol Harum,Hits'n'Flips,A Whiter Shade of Pale - Original Single Version
Jack White;Alicia Keys,As I Am (Expanded Edition),Another Way to Die
Zayde Wølf,Rare Breed,New Blood
Jack White,Sixteen Saltines,Love Is Blindness
The White Stripes,Get Behind Me Satan,Blue Orchid
Cage The Elephant,Melophobia,Spiderhead
Stevie Ray Vaughan,Texas Flood (Legacy Edition),Mary Had a Little Lamb
David Gilmour,On An Island,Smile
Blue Öyster Cult,Fire of Unknown Origin,Burnin' for You
Stevie Ray Vaughan,Texas Flood (Legacy Edition),Lenny
Eric Clapton;B.B. King,Riding with the King,Riding with the King
ZZ Top,Eliminator,Gimme All Your Lovin'
The Heavy,The Glorious Dead,What Makes A Good Man?
The White Stripes,Elephant,The Hardest Button to Button
Santana,Ultimate Santana,Europa (Earth's Cry Heaven's Smile)
"Crosby, Stills & Nash",Daylight Again (Deluxe Edition),Southern Cross - 2005 Remaster
Freestylers;Belle Humble;Flux Pavilion,Cracks,Cracks - Flux Pavilion Remix
Orbital,Orbital 2,Halcyon and On and On
Bassnectar;W. Darling,Noise vs Beauty,You & Me (feat. W. Darling)
The Prodigy,Invaders Must Die,Invaders Must Die
Propellerheads;Shirley Bassey,Decksandrumsandrockandroll 20th anniversary,History Repeating - Knee Length Mix
Orbital,Orbital,Belfast
Adele,Skyfall,Skyfall
Paloma Faith,A Perfect Contradiction (Outsiders' Expanded Edition),Only Love Can Hurt Like This
Seal,Seal,Kiss from a Rose
Leona Lewis,Spirit,Bleeding Love
Tom Rosenthal,The Pleasant Trees,It's Ok
Mark Morrison,Return of the Mack,Return of the Mack
Craig David,Rewind - The Collection,Insomnia
Craig David,Born to Do It,7 Days
Nicholas Hooper,Harry Potter and the Half-Blood Prince (Original Motion Picture Soundtrack),Dumbledore's Farewell
