name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist
Mazel Tov,IDK,2q0nvnoM52HGglPqzRxD5P,no,no,0.8370000000000001,0.371,-7.94,0.131,0.000467,1.2e-05,0.125,0.228,0.057233500000000014,0.7450000000000001,0.6405000000000001,6e-06,0.11800000000000001,0.225,0.523
Tomorrow (feat. 433),Tiësto,0uH5ORp6Ai5PP0SUofxoc7,no,no,0.6609999999999999,0.942,-3.75,0.282,0.00607,0.44,0.0778,0.203,0.0468405,0.6629999999999999,0.8122222222222221,0.17141181500000002,0.1263722222222222,0.06961111111111111,0.3490333333333333
FOR MY PEOPLE,Joey Bada$$,7CzWRneYi3P7dZqJM0SkUs,no,no,0.672,0.7040000000000001,-6.627999999999999,0.165,0.111,0.0,0.115,0.188,0.2958604651162791,0.6522093023255815,0.7248139534883722,0.03271512418604652,0.2717441860465116,0.2453348837209301,0.6109767441860467
Calm Down (Bittersweet) [feat. Summer Walker],A Boogie Wit da Hoodie,1U5pPF8f6APVCoc6t2KfIB,no,no,0.579,0.612,-4.685,0.111,0.221,0.0,0.108,0.425,0.2630172549019608,0.7114803921568633,0.6233039215686271,1.2584313725490196e-06,0.1618480392156862,0.2187441176470588,0.4987745098039216
I Lied (Intro),Joyner Lucas,4LGBvq6TRWVIeZ7CFyGsEd,no,no,0.8740000000000001,0.759,-4.621,0.28800000000000003,0.106,0.0,0.0816,0.731,0.20170782608695645,0.7346304347826085,0.6759347826086961,0.011106771739130434,0.17535,0.2804630434782609,0.4432391304347825
Pricey & Spicy,Tory Lanez,1ahRPMw2Cpv1HfUNW8Ykw4,no,no,0.506,0.665,-7.11,0.229,0.0662,0.0,0.146,0.14400000000000002,0.08190352542372882,0.6868813559322032,0.6127457627118644,3.2352542372881346e-05,0.1771084745762712,0.15583898305084742,0.3296322033898307
Help (with Tory Lanez),Lil Wayne,4BtVYDiUSuOuOsupYAJJuk,no,no,0.687,0.6920000000000001,-6.676,0.051,0.0296,0.0,0.125,0.428,0.08111763910891087,0.6516212871287125,0.6947821782178221,0.0005100060148514852,0.21336064356435647,0.2241915841584161,0.4863653465346533
딱 좋아(Just right),GOT7,4ER58qECydWokIsgqtysWu,no,no,0.76,0.7809999999999999,-2.881,0.0641,0.233,0.0,0.106,0.736,0.109,0.7034999999999999,0.78675,1.11e-06,0.15255000000000002,0.08757500000000001,0.63775
"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",Cautious Clay,6lIRYe72fn1pf7TNqfI0ul,no,no,0.818,0.623,-5.901,0.043,0.201,0.0,0.112,0.968,0.2496666666666667,0.7086666666666667,0.521,0.166,0.106,0.0534,0.6306666666666666
Days Like This (feat. Khalid),GoldLink,2qU9ro2FCa4WjFqTg1JFJP,no,no,0.805,0.496,-7.294,0.103,0.0725,0.016,0.103,0.299,0.1812888888888889,0.7014444444444445,0.6543333333333333,0.0018223800000000004,0.10705555555555556,0.19322222222222227,0.5306666666666666
